"","date","name","price.mean"
"238",2011-02-01,"울산",2680
"239",2011-02-01,"인천",2580
"240",2011-02-01,"전주",1980
"241",2011-02-01,"제주",2270
"242",2011-02-01,"청주",2580
"243",2011-02-07,"광주",2260
"244",2011-02-07,"대구",2210
"245",2011-02-07,"대전",2335
"246",2011-02-07,"부산",2585
"247",2011-02-07,"서울 ",2296.66666666667
"248",2011-02-07,"수원",2840
"249",2011-02-07,"울산",2680
"250",2011-02-07,"인천",1980
"251",2011-02-07,"전주",1980
"252",2011-02-07,"제주",2580
"253",2011-02-07,"청주",2580
"254",2011-02-08,"광주",2035
"255",2011-02-08,"대구",2210
"256",2011-02-08,"대전",2335
"257",2011-02-08,"부산",2585
"258",2011-02-08,"서울 ",1996.66666666667
"259",2011-02-08,"수원",2840
"260",2011-02-08,"울산",2680
"261",2011-02-08,"인천",1680
"262",2011-02-08,"전주",1980
"263",2011-02-08,"제주",2580
"264",2011-02-08,"청주",2580
"265",2011-02-09,"광주",2210
"266",2011-02-09,"대구",2085
"267",2011-02-09,"대전",2335
"268",2011-02-09,"부산",2585
"269",2011-02-09,"서울 ",2046.66666666667
"270",2011-02-09,"수원",2840
"271",2011-02-09,"울산",2680
"272",2011-02-09,"인천",1980
"273",2011-02-09,"전주",1980
"274",2011-02-09,"제주",2580
"275",2011-02-09,"청주",2580
"276",2011-02-10,"광주",2035
"277",2011-02-10,"대구",2085
"278",2011-02-10,"대전",2010
"279",2011-02-10,"부산",2560
"280",2011-02-10,"서울 ",1845
"281",2011-02-10,"수원",2840
"282",2011-02-10,"울산",2680
"283",2011-02-10,"인천",1680
"284",2011-02-10,"전주",1680
"285",2011-02-10,"제주",2580
"286",2011-02-10,"청주",2580
"287",2011-02-11,"광주",2035
"288",2011-02-11,"대구",2085
"289",2011-02-11,"대전",2010
"290",2011-02-11,"부산",2610
"291",2011-02-11,"서울 ",1795
"292",2011-02-11,"수원",2840
"293",2011-02-11,"울산",2680
"294",2011-02-11,"인천",1680
"295",2011-02-11,"전주",1680
"296",2011-02-11,"제주",2240
"297",2011-02-11,"청주",2580
"298",2011-02-14,"광주",2035
"299",2011-02-14,"대구",2160
"300",2011-02-14,"대전",2010
"301",2011-02-14,"부산",2635
"302",2011-02-14,"서울 ",1921.66666666667
"303",2011-02-14,"수원",2840
"304",2011-02-14,"울산",2680
"305",2011-02-14,"인천",1680
"306",2011-02-14,"전주",1680
"307",2011-02-14,"제주",2240
"308",2011-02-14,"청주",2580
"309",2011-02-15,"광주",2060
"310",2011-02-15,"대구",2160
"311",2011-02-15,"대전",2010
"312",2011-02-15,"부산",2635
"313",2011-02-15,"서울 ",1938.33333333333
"314",2011-02-15,"수원",2840
"315",2011-02-15,"울산",2680
"316",2011-02-15,"인천",1680
"317",2011-02-15,"전주",1680
"318",2011-02-15,"제주",2240
"319",2011-02-15,"청주",2580
"320",2011-02-16,"광주",2060
"321",2011-02-16,"대구",2160
"322",2011-02-16,"대전",1985
"323",2011-02-16,"부산",2635
"324",2011-02-16,"서울 ",1938.33333333333
"325",2011-02-16,"수원",2690
"326",2011-02-16,"울산",2680
