"","서울","부산","대구","인천","광주","대전","울산","수원","청주","전주","제주"
"127",2216.66666666667,2585,2562.5,2180,2565,2250,2280,2740,2250,2280,2990
"128",2216.66666666667,2585,2562.5,2500,2440,2250,2280,2650,2250,2280,2990
"129",2216.66666666667,2560,2367.5,2280,2440,2250,2280,2650,2250,2280,2990
"130",2216.66666666667,2560,2367.5,2280,2440,2250,2280,2650,2250,2280,2990
"131",2320,2410,2367.5,2500,2390,2250,2280,2650,2250,2280,2990
"132",2320,2410,2367.5,2500,2540,2250,2280,2650,2250,2280,2990
"133",2233.33333333333,2410,2537.5,2500,2440,2250,2280,2650,2250,2280,2180
"134",2320,2410,2537.5,2500,2440,2250,2280,2650,2250,2280,2180
"135",2320,2410,2537.5,2500,2440,2250,2280,2650,2250,2280,2180
"136",2320,2427.5,2537.5,2500,2532.5,2250,2280,2630,2250,2280,2180
"137",2320,2252.5,2385,2500,2457.5,2250,2280,2630,2250,2280,2180
"138",2285,2252.5,2385,2500,2457.5,2250,2280,2630,1980,2280,2180
"139",2285,2352.5,2385,2500,2457.5,2305,2280,2600,1980,2280,2180
"140",2251.66666666667,2352.5,2385,2500,2457.5,2305,2280,2250,1980,2280,2280
"141",2251.66666666667,2352.5,2385,2500,2457.5,2305,2280,2250,1980,2280,2280
"142",2046.66666666667,2352.5,2302.5,1980,2270,2102.5,2280,2250,1980,1950,2080
"143",2046.66666666667,2352.5,2060,1980,2027.5,2102.5,2280,2250,1980,1950,1950
"144",2115,2315,2330,1980,2357.5,2177.5,2980,2250,1900,1950,1950
"145",2095,2265,2330,1980,2357.5,2177.5,2980,2250,1900,1950,1950
"146",2095,2265,2330,2200,2357.5,2177.5,2280,2250,1900,1950,1950
"147",2095,2190,2112.5,2200,2282.5,2177.5,2280,2250,1890,1950,1950
"148",2095,2265,2112.5,2200,2282.5,2177.5,2280,2250,1890,1950,1950
"149",2118.33333333333,2365,2117.5,2200,2315,2102.5,2280,2250,1890,2080,1950
"150",2118.33333333333,2365,2117.5,2200,2315,2102.5,2280,2250,1890,2080,1950
"151",2118.33333333333,2365,2117.5,2200,2315,2177.5,2280,2250,1890,2080,1950
"152",2068.33333333333,2065,2042.5,2200,2240,2027.5,1980,2250,1890,2080,2080
"153",2068.33333333333,2065,2042.5,2200,2240,2027.5,1980,2250,2100,1950,1950
"154",2056.66666666667,2040,2010,1980,2240,2027.5,1980,2250,2100,1950,1950
"155",2056.66666666667,2040,2010,1980,2240,2027.5,1980,2250,2200,1950,1950
"156",2156.66666666667,2190,2192.5,1950,2210,2210,2580,2250,2200,2080,1950
"157",2111.66666666667,2190,2192.5,1950,2210,2210,2580,2250,1980,2080,1950
"158",2106.66666666667,2190,2192.5,1950,2085,2210,2080,2250,1980,2080,2080
"159",2023.33333333333,2190,2067.5,1950,2085,2085,2080,2250,2380,2080,2080
"160",2045,2390,2337.5,1950,2285,2110,2880,2250,2480,2080,2080
"161",2166.66666666667,2165,2287.5,1950,2302.5,2235,2580,2250,2480,2180,2180
"162",2166.66666666667,2040,2162.5,2080,2302.5,2110,2080,2250,2480,2180,2180
"163",2076.66666666667,2335,2287.5,1980,2235,2085,1950,2250,2480,2180,2180
"164",2093.33333333333,2335,2287.5,1980,2235,2085,1950,2250,2180,2180,2180
"165",1970,2155,2287.5,1750,2077.5,2002.5,1950,2250,2180,2180,2180
"166",1986.66666666667,2055,2187.5,1750,2077.5,2077.5,2180,2160,2180,2180,2180
"167",1910,1955,2045,1750,2052.5,2077.5,2080,1700,1700,2180,2280
"168",1860,2040,2045,1750,2052.5,2002.5,2080,1700,1700,1980,1980
"169",1860,2040,2045,1750,2052.5,2002.5,2080,1700,1700,1980,1980
"170",1915,1915,2045,1750,2052.5,2002.5,2080,1700,1700,1980,1980
"171",1915,1915,1970,1950,2185,2060,2080,1700,1700,1880,1980
"172",1936.66666666667,1915,1970,2080,2060,2060,2080,1700,1700,1880,1980
"173",1953.33333333333,2105,2007.5,2080,2060,2060,2080,2570,2180,1880,1980
"174",1915,1897.5,1950,2500,2002.5,2002.5,1850,2180,2180,1880,2810
"175",1915,1897.5,1950,2080,2002.5,1952.5,1850,2180,2180,1880,2180
"176",1915,1897.5,1950,1950,2002.5,1952.5,1850,2180,2180,1880,2180
"177",1930,1897.5,1950,1950,2002.5,1952.5,1850,2180,2180,1880,2180
"178",1930,1897.5,1950,1950,2002.5,1952.5,1850,2180,2180,1880,2180
"179",1830,1947.5,1950,1780,2002.5,1877.5,1850,2180,2080,1770,2180
"180",1830,1947.5,1950,1780,1927.5,1877.5,1780,2180,2080,1770,2180
"181",1813.33333333333,2030,1962.5,1780,1927.5,1877.5,1780,2180,2080,1770,2180
"182",1808.33333333333,2030,1962.5,1780,1927.5,1877.5,1780,2180,1980,1770,2180
"183",1808.33333333333,2030,1915,1780,1927.5,1827.5,1780,2180,1980,1770,2180
"184",1816.66666666667,1885,1867.5,1780,1960,1990,2280,2180,1980,1580,2180
"185",1740,1702.5,1685,1550,1670,1620,1550,2180,1580,1580,1980
"186",1601.66666666667,1652.5,1685,1550,1670,1752.5,1550,2180,1580,1580,2180
"187",1601.66666666667,1652.5,1685,1550,1670,1752.5,1550,2180,1580,1580,2180
"188",1761.66666666667,1910,1792.5,1750,1835,1752.5,1550,2180,1580,1680,2180
"189",1783.33333333333,1910,1792.5,1750,1835,1785,1680,2180,1580,1680,2180
"190",1683.33333333333,1760,1792.5,1750,1860,1810,1680,2090,1980,1680,2180
"191",1683.33333333333,1760,1817.5,1750,1860,1810,1680,2090,1580,1680,2180
"192",1683.33333333333,1802.5,1817.5,1750,1860,1810,1680,2090,1580,1680,2180
